"Partido","Nivel de Gobierno","Nivel Máximo","N Candidatos","Total Candidatos del Nivel","% del total"
"Partido del Buen Gobierno","MUNICIPAL PROVINCIAL","Técnica",16,524,3.05
"Partido del Buen Gobierno","MUNICIPAL PROVINCIAL","Primaria",10,524,1.91
"Partido del Buen Gobierno","REGIONAL","Sin datos",63,139,45.32
"Partido del Buen Gobierno","REGIONAL","Secundaria",29,139,20.86
"Partido del Buen Gobierno","REGIONAL","Universitaria",26,139,18.71
"Partido del Buen Gobierno","REGIONAL","Posgrado",18,139,12.95
"Partido del Buen Gobierno","REGIONAL","Técnica",2,139,1.44
"Partido del Buen Gobierno","REGIONAL","Primaria",1,139,0.72
"País Para Todos","GENERAL","Secundaria",1680,2927,57.4
"País Para Todos","GENERAL","Universitaria",640,2927,21.87
"País Para Todos","GENERAL","Sin datos",209,2927,7.14
"País Para Todos","GENERAL","Primaria",164,2927,5.6
"País Para Todos","GENERAL","Posgrado",162,2927,5.53
"País Para Todos","GENERAL","Técnica",72,2927,2.46
"País Para Todos","MUNICIPAL DISTRITAL","Secundaria",1346,2225,60.49
"País Para Todos","MUNICIPAL DISTRITAL","Universitaria",431,2225,19.37
"País Para Todos","MUNICIPAL DISTRITAL","Sin datos",167,2225,7.51
"País Para Todos","MUNICIPAL DISTRITAL","Primaria",145,2225,6.52
"País Para Todos","MUNICIPAL DISTRITAL","Posgrado",87,2225,3.91
"País Para Todos","MUNICIPAL DISTRITAL","Técnica",49,2225,2.2
"País Para Todos","MUNICIPAL PROVINCIAL","Secundaria",272,554,49.1
"País Para Todos","MUNICIPAL PROVINCIAL","Universitaria",160,554,28.88
"País Para Todos","MUNICIPAL PROVINCIAL","Posgrado",57,554,10.29
"País Para Todos","MUNICIPAL PROVINCIAL","Sin datos",30,554,5.42
"País Para Todos","MUNICIPAL PROVINCIAL","Técnica",19,554,3.43
"País Para Todos","MUNICIPAL PROVINCIAL","Primaria",16,554,2.89
"País Para Todos","REGIONAL","Secundaria",62,148,41.89
"País Para Todos","REGIONAL","Universitaria",49,148,33.11
"País Para Todos","REGIONAL","Posgrado",18,148,12.16
"País Para Todos","REGIONAL","Sin datos",12,148,8.11
"País Para Todos","REGIONAL","Técnica",4,148,2.7
"País Para Todos","REGIONAL","Primaria",3,148,2.03
"Perú Libre","GENERAL","Secundaria",359,671,53.5
"Perú Libre","GENERAL","Universitaria",123,671,18.33
"Perú Libre","GENERAL","Sin datos",98,671,14.61
"Perú Libre","GENERAL","Posgrado",33,671,4.92
"Perú Libre","GENERAL","Primaria",31,671,4.62
"Perú Libre","GENERAL","Técnica",27,671,4.02
"Perú Libre","MUNICIPAL DISTRITAL","Secundaria",284,491,57.84
"Perú Libre","MUNICIPAL DISTRITAL","Universitaria",78,491,15.89
"Perú Libre","MUNICIPAL DISTRITAL","Sin datos",72,491,14.66
"Perú Libre","MUNICIPAL DISTRITAL","Primaria",27,491,5.5
"Perú Libre","MUNICIPAL DISTRITAL","Técnica",18,491,3.67
"Perú Libre","MUNICIPAL DISTRITAL","Posgrado",12,491,2.44
"Perú Libre","MUNICIPAL PROVINCIAL","Secundaria",58,152,38.16
"Perú Libre","MUNICIPAL PROVINCIAL","Universitaria",42,152,27.63
"Perú Libre","MUNICIPAL PROVINCIAL","Sin datos",26,152,17.11
"Perú Libre","MUNICIPAL PROVINCIAL","Posgrado",16,152,10.53
"Perú Libre","MUNICIPAL PROVINCIAL","Técnica",8,152,5.26
"Perú Libre","MUNICIPAL PROVINCIAL","Primaria",2,152,1.32
"Perú Libre","REGIONAL","Secundaria",17,28,60.71
"Perú Libre","REGIONAL","Posgrado",5,28,17.86
"Perú Libre","REGIONAL","Universitaria",3,28,10.71
"Perú Libre","REGIONAL","Primaria",2,28,7.14
"Perú Libre","REGIONAL","Técnica",1,28,3.57
"Perú Moderno","GENERAL","Secundaria",476,810,58.77
"Perú Moderno","GENERAL","Universitaria",154,810,19.01
"Perú Moderno","GENERAL","Sin datos",58,810,7.16
"Perú Moderno","GENERAL","Primaria",47,810,5.8
"Perú Moderno","GENERAL","Posgrado",41,810,5.06
"Perú Moderno","GENERAL","Técnica",34,810,4.2
"Perú Moderno","MUNICIPAL DISTRITAL","Secundaria",359,576,62.33
"Perú Moderno","MUNICIPAL DISTRITAL","Universitaria",110,576,19.1
"Perú Moderno","MUNICIPAL DISTRITAL","Primaria",34,576,5.9
"Perú Moderno","MUNICIPAL DISTRITAL","Sin datos",25,576,4.34
"Perú Moderno","MUNICIPAL DISTRITAL","Posgrado",24,576,4.17
"Perú Moderno","MUNICIPAL DISTRITAL","Técnica",24,576,4.17
"Perú Moderno","MUNICIPAL PROVINCIAL","Secundaria",106,188,56.38
"Perú Moderno","MUNICIPAL PROVINCIAL","Universitaria",34,188,18.09
"Perú Moderno","MUNICIPAL PROVINCIAL","Sin datos",16,188,8.51
"Perú Moderno","MUNICIPAL PROVINCIAL","Posgrado",12,188,6.38
"Perú Moderno","MUNICIPAL PROVINCIAL","Primaria",10,188,5.32
"Perú Moderno","MUNICIPAL PROVINCIAL","Técnica",10,188,5.32
"Perú Moderno","REGIONAL","Sin datos",17,46,36.96
"Perú Moderno","REGIONAL","Secundaria",11,46,23.91
"Perú Moderno","REGIONAL","Universitaria",10,46,21.74
"Perú Moderno","REGIONAL","Posgrado",5,46,10.87
"Perú Moderno","REGIONAL","Primaria",3,46,6.52
"Perú Primero","GENERAL","Secundaria",4112,7563,54.37
"Perú Primero","GENERAL","Universitaria",1755,7563,23.21
"Perú Primero","GENERAL","Sin datos",599,7563,7.92
"Perú Primero","GENERAL","Posgrado",476,7563,6.29
"Perú Primero","GENERAL","Primaria",389,7563,5.14
"Perú Primero","GENERAL","Técnica",232,7563,3.07
"Perú Primero","MUNICIPAL DISTRITAL","Secundaria",3496,5976,58.5
"Perú Primero","MUNICIPAL DISTRITAL","Universitaria",1263,5976,21.13
"Perú Primero","MUNICIPAL DISTRITAL","Sin datos",432,5976,7.23
"Perú Primero","MUNICIPAL DISTRITAL","Primaria",357,5976,5.97
"Perú Primero","MUNICIPAL DISTRITAL","Posgrado",249,5976,4.17
"Perú Primero","MUNICIPAL DISTRITAL","Técnica",179,5976,3
"Perú Primero","MUNICIPAL PROVINCIAL","Secundaria",550,1273,43.21
"Perú Primero","MUNICIPAL PROVINCIAL","Universitaria",401,1273,31.5
"Perú Primero","MUNICIPAL PROVINCIAL","Posgrado",172,1273,13.51
"Perú Primero","MUNICIPAL PROVINCIAL","Sin datos",79,1273,6.21
"Perú Primero","MUNICIPAL PROVINCIAL","Técnica",44,1273,3.46
"Perú Primero","MUNICIPAL PROVINCIAL","Primaria",27,1273,2.12
"Perú Primero","REGIONAL","Universitaria",91,314,28.98
"Perú Primero","REGIONAL","Sin datos",88,314,28.03
"Perú Primero","REGIONAL","Secundaria",66,314,21.02
"Perú Primero","REGIONAL","Posgrado",55,314,17.52
"Perú Primero","REGIONAL","Técnica",9,314,2.87
"Perú Primero","REGIONAL","Primaria",5,314,1.59
"Podemos Perú","GENERAL","Secundaria",4184,7292,57.38
"Podemos Perú","GENERAL","Universitaria",1693,7292,23.22
"Podemos Perú","GENERAL","Sin datos",480,7292,6.58
"Podemos Perú","GENERAL","Posgrado",418,7292,5.73
"Podemos Perú","GENERAL","Primaria",317,7292,4.35
"Podemos Perú","GENERAL","Técnica",200,7292,2.74
"Podemos Perú","MUNICIPAL DISTRITAL","Secundaria",3557,5839,60.92
"Podemos Perú","MUNICIPAL DISTRITAL","Universitaria",1213,5839,20.77
"Podemos Perú","MUNICIPAL DISTRITAL","Sin datos",417,5839,7.14
"Podemos Perú","MUNICIPAL DISTRITAL","Primaria",274,5839,4.69
"Podemos Perú","MUNICIPAL DISTRITAL","Posgrado",231,5839,3.96
"Podemos Perú","MUNICIPAL DISTRITAL","Técnica",147,5839,2.52
"Podemos Perú","MUNICIPAL PROVINCIAL","Secundaria",549,1213,45.26
"Podemos Perú","MUNICIPAL PROVINCIAL","Universitaria",391,1213,32.23
"Podemos Perú","MUNICIPAL PROVINCIAL","Posgrado",143,1213,11.79
"Podemos Perú","MUNICIPAL PROVINCIAL","Sin datos",48,1213,3.96
"Podemos Perú","MUNICIPAL PROVINCIAL","Técnica",47,1213,3.87
"Podemos Perú","MUNICIPAL PROVINCIAL","Primaria",35,1213,2.89
"Podemos Perú","REGIONAL","Universitaria",89,240,37.08
"Podemos Perú","REGIONAL","Secundaria",78,240,32.5
"Podemos Perú","REGIONAL","Posgrado",44,240,18.33
"Podemos Perú","REGIONAL","Sin datos",15,240,6.25
"Podemos Perú","REGIONAL","Primaria",8,240,3.33
"Podemos Perú","REGIONAL","Técnica",6,240,2.5
"Primero la Gente","GENERAL","Sin datos",133,246,54.07
"Primero la Gente","GENERAL","Secundaria",73,246,29.67
"Primero la Gente","GENERAL","Universitaria",30,246,12.2
"Primero la Gente","GENERAL","Posgrado",6,246,2.44
"Primero la Gente","GENERAL","Primaria",2,246,0.81
"Primero la Gente","GENERAL","Técnica",2,246,0.81
"Primero la Gente","MUNICIPAL DISTRITAL","Secundaria",48,94,51.06
"Primero la Gente","MUNICIPAL DISTRITAL","Universitaria",24,94,25.53
"Primero la Gente","MUNICIPAL DISTRITAL","Sin datos",17,94,18.09
"Primero la Gente","MUNICIPAL DISTRITAL","Posgrado",3,94,3.19
"Primero la Gente","MUNICIPAL DISTRITAL","Técnica",2,94,2.13
"Primero la Gente","MUNICIPAL PROVINCIAL","Sin datos",52,88,59.09
"Primero la Gente","MUNICIPAL PROVINCIAL","Secundaria",25,88,28.41
"Primero la Gente","MUNICIPAL PROVINCIAL","Universitaria",6,88,6.82
"Primero la Gente","MUNICIPAL PROVINCIAL","Posgrado",3,88,3.41
"Primero la Gente","MUNICIPAL PROVINCIAL","Primaria",2,88,2.27
"Primero la Gente","REGIONAL","Sin datos",64,64,100
"Progresemos","GENERAL","Secundaria",1912,3579,53.42
"Progresemos","GENERAL","Universitaria",899,3579,25.12
"Progresemos","GENERAL","Sin datos",274,3579,7.66
"Progresemos","GENERAL","Posgrado",263,3579,7.35
"Progresemos","GENERAL","Técnica",119,3579,3.32
"Progresemos","GENERAL","Primaria",112,3579,3.13
"Progresemos","MUNICIPAL DISTRITAL","Secundaria",1547,2744,56.38
"Progresemos","MUNICIPAL DISTRITAL","Universitaria",641,2744,23.36
"Progresemos","MUNICIPAL DISTRITAL","Sin datos",211,2744,7.69
"Progresemos","MUNICIPAL DISTRITAL","Posgrado",152,2744,5.54
"Progresemos","MUNICIPAL DISTRITAL","Técnica",97,2744,3.53
"Progresemos","MUNICIPAL DISTRITAL","Primaria",96,2744,3.5
"Progresemos","MUNICIPAL PROVINCIAL","Secundaria",309,691,44.72
"Progresemos","MUNICIPAL PROVINCIAL","Universitaria",206,691,29.81
"Progresemos","MUNICIPAL PROVINCIAL","Posgrado",86,691,12.45
"Progresemos","MUNICIPAL PROVINCIAL","Sin datos",59,691,8.54
"Progresemos","MUNICIPAL PROVINCIAL","Técnica",16,691,2.32
"Progresemos","MUNICIPAL PROVINCIAL","Primaria",15,691,2.17
"Progresemos","REGIONAL","Secundaria",56,144,38.89
"Progresemos","REGIONAL","Universitaria",52,144,36.11
"Progresemos","REGIONAL","Posgrado",25,144,17.36
"Progresemos","REGIONAL","Técnica",6,144,4.17
"Progresemos","REGIONAL","Sin datos",4,144,2.78
"Progresemos","REGIONAL","Primaria",1,144,0.69
"Pueblo Consciente","GENERAL","Sin datos",610,781,78.1
"Pueblo Consciente","GENERAL","Secundaria",102,781,13.06
"Pueblo Consciente","GENERAL","Universitaria",38,781,4.87
"Pueblo Consciente","GENERAL","Posgrado",15,781,1.92
"Pueblo Consciente","GENERAL","Técnica",9,781,1.15
"Pueblo Consciente","GENERAL","Primaria",7,781,0.9
"Pueblo Consciente","MUNICIPAL DISTRITAL","Secundaria",54,104,51.92
"Pueblo Consciente","MUNICIPAL DISTRITAL","Sin datos",27,104,25.96
"Pueblo Consciente","MUNICIPAL DISTRITAL","Universitaria",10,104,9.62
"Pueblo Consciente","MUNICIPAL DISTRITAL","Posgrado",8,104,7.69
"Pueblo Consciente","MUNICIPAL DISTRITAL","Técnica",3,104,2.88
"Pueblo Consciente","MUNICIPAL DISTRITAL","Primaria",2,104,1.92
"Pueblo Consciente","MUNICIPAL PROVINCIAL","Sin datos",426,489,87.12
"Pueblo Consciente","MUNICIPAL PROVINCIAL","Secundaria",35,489,7.16
"Pueblo Consciente","MUNICIPAL PROVINCIAL","Universitaria",15,489,3.07
"Pueblo Consciente","MUNICIPAL PROVINCIAL","Primaria",5,489,1.02
"Pueblo Consciente","MUNICIPAL PROVINCIAL","Técnica",5,489,1.02
"Pueblo Consciente","MUNICIPAL PROVINCIAL","Posgrado",3,489,0.61
"Pueblo Consciente","REGIONAL","Sin datos",157,188,83.51
"Pueblo Consciente","REGIONAL","Secundaria",13,188,6.91
"Pueblo Consciente","REGIONAL","Universitaria",13,188,6.91
"Pueblo Consciente","REGIONAL","Posgrado",4,188,2.13
"Pueblo Consciente","REGIONAL","Técnica",1,188,0.53
"Renovación Popular","GENERAL","Secundaria",2653,5313,49.93
"Renovación Popular","GENERAL","Universitaria",1429,5313,26.9
"Renovación Popular","GENERAL","Posgrado",450,5313,8.47
"Renovación Popular","GENERAL","Sin datos",400,5313,7.53
"Renovación Popular","GENERAL","Primaria",224,5313,4.22
"Renovación Popular","GENERAL","Técnica",157,5313,2.96
"Renovación Popular","MUNICIPAL DISTRITAL","Secundaria",2177,4098,53.12
"Renovación Popular","MUNICIPAL DISTRITAL","Universitaria",1018,4098,24.84
"Renovación Popular","MUNICIPAL DISTRITAL","Sin datos",295,4098,7.2
"Renovación Popular","MUNICIPAL DISTRITAL","Posgrado",288,4098,7.03
"Renovación Popular","MUNICIPAL DISTRITAL","Primaria",205,4098,5
"Renovación Popular","MUNICIPAL DISTRITAL","Técnica",115,4098,2.81
"Renovación Popular","MUNICIPAL PROVINCIAL","Secundaria",410,948,43.25
"Renovación Popular","MUNICIPAL PROVINCIAL","Universitaria",320,948,33.76
"Renovación Popular","MUNICIPAL PROVINCIAL","Posgrado",102,948,10.76
"Renovación Popular","MUNICIPAL PROVINCIAL","Sin datos",64,948,6.75
"Renovación Popular","MUNICIPAL PROVINCIAL","Técnica",34,948,3.59
"Renovación Popular","MUNICIPAL PROVINCIAL","Primaria",18,948,1.9
"Renovación Popular","REGIONAL","Universitaria",91,267,34.08
"Renovación Popular","REGIONAL","Secundaria",66,267,24.72
"Renovación Popular","REGIONAL","Posgrado",60,267,22.47
"Renovación Popular","REGIONAL","Sin datos",41,267,15.36
"Renovación Popular","REGIONAL","Técnica",8,267,3
"Renovación Popular","REGIONAL","Primaria",1,267,0.37
"Salvemos al Perú","GENERAL","Secundaria",249,485,51.34
"Salvemos al Perú","GENERAL","Sin datos",93,485,19.18
"Salvemos al Perú","GENERAL","Universitaria",76,485,15.67
"Salvemos al Perú","GENERAL","Posgrado",34,485,7.01
"Salvemos al Perú","GENERAL","Primaria",21,485,4.33
"Salvemos al Perú","GENERAL","Técnica",12,485,2.47
"Salvemos al Perú","MUNICIPAL DISTRITAL","Secundaria",207,341,60.7
"Salvemos al Perú","MUNICIPAL DISTRITAL","Universitaria",58,341,17.01
"Salvemos al Perú","MUNICIPAL DISTRITAL","Sin datos",30,341,8.8
"Salvemos al Perú","MUNICIPAL DISTRITAL","Posgrado",18,341,5.28
"Salvemos al Perú","MUNICIPAL DISTRITAL","Primaria",18,341,5.28
"Salvemos al Perú","MUNICIPAL DISTRITAL","Técnica",10,341,2.93
"Salvemos al Perú","MUNICIPAL PROVINCIAL","Secundaria",42,108,38.89
"Salvemos al Perú","MUNICIPAL PROVINCIAL","Sin datos",31,108,28.7
"Salvemos al Perú","MUNICIPAL PROVINCIAL","Universitaria",17,108,15.74
"Salvemos al Perú","MUNICIPAL PROVINCIAL","Posgrado",13,108,12.04
"Salvemos al Perú","MUNICIPAL PROVINCIAL","Primaria",3,108,2.78
"Salvemos al Perú","MUNICIPAL PROVINCIAL","Técnica",2,108,1.85
"Salvemos al Perú","REGIONAL","Sin datos",32,36,88.89
"Salvemos al Perú","REGIONAL","Posgrado",3,36,8.33
"Salvemos al Perú","REGIONAL","Universitaria",1,36,2.78
"Somos Perú","GENERAL","Secundaria",5049,9198,54.89
"Somos Perú","GENERAL","Universitaria",2305,9198,25.06
"Somos Perú","GENERAL","Posgrado",653,9198,7.1
"Somos Perú","GENERAL","Primaria",526,9198,5.72
"Somos Perú","GENERAL","Sin datos",363,9198,3.95
"Somos Perú","GENERAL","Técnica",302,9198,3.28
"Somos Perú","MUNICIPAL DISTRITAL","Secundaria",4363,7349,59.37
"Somos Perú","MUNICIPAL DISTRITAL","Universitaria",1596,7349,21.72
"Somos Perú","MUNICIPAL DISTRITAL","Primaria",488,7349,6.64
"Somos Perú","MUNICIPAL DISTRITAL","Posgrado",382,7349,5.2
"Somos Perú","MUNICIPAL DISTRITAL","Sin datos",290,7349,3.95
"Somos Perú","MUNICIPAL DISTRITAL","Técnica",230,7349,3.13
"Somos Perú","MUNICIPAL PROVINCIAL","Secundaria",595,1522,39.09
"Somos Perú","MUNICIPAL PROVINCIAL","Universitaria",564,1522,37.06
"Somos Perú","MUNICIPAL PROVINCIAL","Posgrado",209,1522,13.73
"Somos Perú","MUNICIPAL PROVINCIAL","Técnica",67,1522,4.4
"Somos Perú","MUNICIPAL PROVINCIAL","Sin datos",52,1522,3.42
"Somos Perú","MUNICIPAL PROVINCIAL","Primaria",35,1522,2.3
"Somos Perú","REGIONAL","Universitaria",145,327,44.34
"Somos Perú","REGIONAL","Secundaria",91,327,27.83
"Somos Perú","REGIONAL","Posgrado",62,327,18.96
"Somos Perú","REGIONAL","Sin datos",21,327,6.42
"Somos Perú","REGIONAL","Técnica",5,327,1.53
"Somos Perú","REGIONAL","Primaria",3,327,0.92
"SíCreo","GENERAL","Secundaria",74,170,43.53
"SíCreo","GENERAL","Universitaria",43,170,25.29
"SíCreo","GENERAL","Sin datos",35,170,20.59
"SíCreo","GENERAL","Posgrado",12,170,7.06
"SíCreo","GENERAL","Primaria",3,170,1.76
"SíCreo","GENERAL","Técnica",3,170,1.76
"SíCreo","MUNICIPAL DISTRITAL","Secundaria",55,129,42.64
"SíCreo","MUNICIPAL DISTRITAL","Sin datos",34,129,26.36
"SíCreo","MUNICIPAL DISTRITAL","Universitaria",26,129,20.16
"SíCreo","MUNICIPAL DISTRITAL","Posgrado",9,129,6.98
"SíCreo","MUNICIPAL DISTRITAL","Técnica",3,129,2.33
"SíCreo","MUNICIPAL DISTRITAL","Primaria",2,129,1.55
"SíCreo","MUNICIPAL PROVINCIAL","Secundaria",19,41,46.34
"SíCreo","MUNICIPAL PROVINCIAL","Universitaria",17,41,41.46
"SíCreo","MUNICIPAL PROVINCIAL","Posgrado",3,41,7.32
"SíCreo","MUNICIPAL PROVINCIAL","Primaria",1,41,2.44
"SíCreo","MUNICIPAL PROVINCIAL","Sin datos",1,41,2.44
"Todo con el Pueblo","GENERAL","Sin datos",159,374,42.51
"Todo con el Pueblo","GENERAL","Secundaria",125,374,33.42
"Todo con el Pueblo","GENERAL","Universitaria",43,374,11.5
"Todo con el Pueblo","GENERAL","Primaria",29,374,7.75
"Todo con el Pueblo","GENERAL","Posgrado",15,374,4.01
"Todo con el Pueblo","GENERAL","Técnica",3,374,0.8
"Todo con el Pueblo","MUNICIPAL DISTRITAL","Secundaria",48,91,52.75
"Todo con el Pueblo","MUNICIPAL DISTRITAL","Sin datos",16,91,17.58
"Todo con el Pueblo","MUNICIPAL DISTRITAL","Primaria",14,91,15.38
"Todo con el Pueblo","MUNICIPAL DISTRITAL","Universitaria",9,91,9.89
"Todo con el Pueblo","MUNICIPAL DISTRITAL","Posgrado",4,91,4.4
"Todo con el Pueblo","MUNICIPAL PROVINCIAL","Secundaria",50,144,34.72
"Todo con el Pueblo","MUNICIPAL PROVINCIAL","Sin datos",47,144,32.64
"Todo con el Pueblo","MUNICIPAL PROVINCIAL","Universitaria",23,144,15.97
"Todo con el Pueblo","MUNICIPAL PROVINCIAL","Primaria",13,144,9.03
"Todo con el Pueblo","MUNICIPAL PROVINCIAL","Posgrado",9,144,6.25
"Todo con el Pueblo","MUNICIPAL PROVINCIAL","Técnica",2,144,1.39
"Todo con el Pueblo","REGIONAL","Sin datos",96,139,69.06
"Todo con el Pueblo","REGIONAL","Secundaria",27,139,19.42
"Todo con el Pueblo","REGIONAL","Universitaria",11,139,7.91
"Todo con el Pueblo","REGIONAL","Posgrado",2,139,1.44
"Todo con el Pueblo","REGIONAL","Primaria",2,139,1.44
"Todo con el Pueblo","REGIONAL","Técnica",1,139,0.72
"Un Camino Diferente","GENERAL","Secundaria",87,181,48.07
"Un Camino Diferente","GENERAL","Universitaria",57,181,31.49
"Un Camino Diferente","GENERAL","Sin datos",17,181,9.39
"Un Camino Diferente","GENERAL","Posgrado",11,181,6.08
"Un Camino Diferente","GENERAL","Primaria",5,181,2.76
"Un Camino Diferente","GENERAL","Técnica",4,181,2.21
"Un Camino Diferente","MUNICIPAL DISTRITAL","Secundaria",68,138,49.28
"Un Camino Diferente","MUNICIPAL DISTRITAL","Universitaria",38,138,27.54
"Un Camino Diferente","MUNICIPAL DISTRITAL","Sin datos",17,138,12.32
"Un Camino Diferente","MUNICIPAL DISTRITAL","Posgrado",7,138,5.07
"Un Camino Diferente","MUNICIPAL DISTRITAL","Primaria",4,138,2.9
"Un Camino Diferente","MUNICIPAL DISTRITAL","Técnica",4,138,2.9
"Un Camino Diferente","MUNICIPAL PROVINCIAL","Secundaria",19,43,44.19
"Un Camino Diferente","MUNICIPAL PROVINCIAL","Universitaria",19,43,44.19
"Un Camino Diferente","MUNICIPAL PROVINCIAL","Posgrado",4,43,9.3
"Un Camino Diferente","MUNICIPAL PROVINCIAL","Primaria",1,43,2.33
"Unidad y Paz","GENERAL","Sin datos",57,121,47.11
"Unidad y Paz","GENERAL","Secundaria",39,121,32.23
"Unidad y Paz","GENERAL","Universitaria",19,121,15.7
"Unidad y Paz","GENERAL","Técnica",4,121,3.31
"Unidad y Paz","GENERAL","Posgrado",1,121,0.83
"Unidad y Paz","GENERAL","Primaria",1,121,0.83
"Unidad y Paz","MUNICIPAL DISTRITAL","Sin datos",57,121,47.11
"Unidad y Paz","MUNICIPAL DISTRITAL","Secundaria",39,121,32.23
"Unidad y Paz","MUNICIPAL DISTRITAL","Universitaria",19,121,15.7
"Unidad y Paz","MUNICIPAL DISTRITAL","Técnica",4,121,3.31
"Unidad y Paz","MUNICIPAL DISTRITAL","Posgrado",1,121,0.83
"Unidad y Paz","MUNICIPAL DISTRITAL","Primaria",1,121,0.83
"Unido Perú","GENERAL","Sin datos",191,316,60.44
"Unido Perú","GENERAL","Secundaria",69,316,21.84
"Unido Perú","GENERAL","Universitaria",33,316,10.44
"Unido Perú","GENERAL","Posgrado",14,316,4.43
"Unido Perú","GENERAL","Primaria",5,316,1.58
"Unido Perú","GENERAL","Técnica",4,316,1.27
"Unido Perú","MUNICIPAL DISTRITAL","Sin datos",130,190,68.42
"Unido Perú","MUNICIPAL DISTRITAL","Secundaria",42,190,22.11
"Unido Perú","MUNICIPAL DISTRITAL","Universitaria",7,190,3.68
"Unido Perú","MUNICIPAL DISTRITAL","Posgrado",5,190,2.63
"Unido Perú","MUNICIPAL DISTRITAL","Primaria",5,190,2.63
"Unido Perú","MUNICIPAL DISTRITAL","Técnica",1,190,0.53
"Unido Perú","MUNICIPAL PROVINCIAL","Sin datos",53,100,53
"Unido Perú","MUNICIPAL PROVINCIAL","Secundaria",20,100,20
"Unido Perú","MUNICIPAL PROVINCIAL","Universitaria",19,100,19
"Unido Perú","MUNICIPAL PROVINCIAL","Posgrado",5,100,5
"Unido Perú","MUNICIPAL PROVINCIAL","Técnica",3,100,3
"Unido Perú","REGIONAL","Sin datos",8,26,30.77
"Unido Perú","REGIONAL","Secundaria",7,26,26.92
"Unido Perú","REGIONAL","Universitaria",7,26,26.92
"Unido Perú","REGIONAL","Posgrado",4,26,15.38
"Venceremos","GENERAL","Secundaria",1002,1963,51.04
"Venceremos","GENERAL","Universitaria",494,1963,25.17
"Venceremos","GENERAL","Posgrado",168,1963,8.56
"Venceremos","GENERAL","Sin datos",155,1963,7.9
"Venceremos","GENERAL","Primaria",81,1963,4.13
"Venceremos","GENERAL","Técnica",63,1963,3.21
"Venceremos","MUNICIPAL DISTRITAL","Secundaria",709,1245,56.95
"Venceremos","MUNICIPAL DISTRITAL","Universitaria",275,1245,22.09
"Venceremos","MUNICIPAL DISTRITAL","Sin datos",80,1245,6.43
"Venceremos","MUNICIPAL DISTRITAL","Posgrado",68,1245,5.46
"Venceremos","MUNICIPAL DISTRITAL","Primaria",68,1245,5.46
"Venceremos","MUNICIPAL DISTRITAL","Técnica",45,1245,3.61
"Venceremos","MUNICIPAL PROVINCIAL","Secundaria",213,510,41.76
"Venceremos","MUNICIPAL PROVINCIAL","Universitaria",152,510,29.8
"Venceremos","MUNICIPAL PROVINCIAL","Sin datos",61,510,11.96
"Venceremos","MUNICIPAL PROVINCIAL","Posgrado",59,510,11.57
"Venceremos","MUNICIPAL PROVINCIAL","Técnica",16,510,3.14
"Venceremos","MUNICIPAL PROVINCIAL","Primaria",9,510,1.76
"Venceremos","REGIONAL","Secundaria",80,208,38.46
"Venceremos","REGIONAL","Universitaria",67,208,32.21
"Venceremos","REGIONAL","Posgrado",41,208,19.71
"Venceremos","REGIONAL","Sin datos",14,208,6.73
"Venceremos","REGIONAL","Primaria",4,208,1.92
"Venceremos","REGIONAL","Técnica",2,208,0.96
